Strain	Illumina
129P2/OlaHsd	ERR9883600
129S1/SvImJ	ERR9878960
129S5SvEvBrd	ERR9879206
A/J	ERR9880121
AKR/J	ERR9880122
B10.RIII	ERR9880134
BALB/cByJ	ERR9880135
BALB/cJ	ERR9880211
BTBR	ERR9880388
BUB/BnJ	ERR9880390
C3H/HeJ	ERR9880473
C57BL/10J	ERR9880476
C57BL/10SnJ	ERR9880478
C57BL/6NJ	ERR9880493
C57BR/cdJ	ERR9880498
C57L/J	ERR9880539
C58/J	ERR9880600
CAST/EiJ	ERR9880601
CBA/J	ERR9880602
CE/J	ERR9880630
CZECHII/EiJ	ERR9880631
DBA/1J	ERR9880632
DBA/2J	ERR9880647
FVB/NJ	ERR9880654
I/LnJ	ERR9880655
JF1/MsJ	ERR9880673
KK/HiJ	ERR9880674
LEWES/EiJ	ERR9880679
LG/J	ERR9880680
LP/J	ERR9880687
MAMy/J	ERR9880688
MOLF/EiJ	ERR9880691
NOD/ShiLtJ	ERR9880697
NON/LtJ	ERR9880698
NZB/B1NJ	ERR9880704
NZO/HlLtJ	ERR9880708
NZW/LacJ	ERR9880710
PL/J	ERR9880713
PWK/PhJ	ERR9880720
QSi3	ERR9880723
QSi5	ERR9880774
RF/J	ERR9880784
RIIIS/J	ERR9880785
SEA/GnJ	ERR9880790
SJL/J	ERR9880796
SPRET/EiJ	ERR9880927
SM/J	ERR9880804
ST/bJ	ERR9881367
SWR/J	ERR9881408
WSB/EiJ	ERR9882525
ZALENDE/EiJ	ERR9882529
